product_name,label
BEEF CURRYRICE,FOOD
RB. AI-AI CHOCO,FOOD
NASI LIWET,FOOD
BAKWAN JAGUNG,FOOD
Ice Orange,DRINK
RENDANG OMURICE,FOOD
Lasagna,FOOD
Astor Stick Cokelat 40gr,FOOD
MARBLED SIRLOIN STEAK 200gr,FOOD
HAI CMP SPC,FOOD
MDSE ST,OTHER
Polo 1,OTHER
MARMER CAKE PTG,FOOD
MS SWISS ML MED,FOOD
1025-Roti Sosis Sapi,FOOD
OYONG 3 TELOR =*MEDIUM*=,FOOD
ROTI MAHKOTA/RING,FOOD
RE5 M LW,OTHER
AMBUSH CHS BUR,FOOD
Gypsy Gelato Ice Tea,DRINK
Lapchiong,FOOD
GARPU MAKAN,OTHER
Tahu Isi,FOOD
1019-Choco Banana,FOOD
Mie Trsi Kgkung,FOOD
KWETIAW SIRAM SEA,FOOD
Ayam goreng+Sayur asem,FOOD
A13.MIE ACP,FOOD
RTD Lemongrass Aloe,DRINK
Mozarella Hot Dog,FOOD
JYO HARAMI 30%,FOOD
Nasi Liwet,FOOD
Ice Tea Rasp,DRINK
Iced Tea,DRINK
MOKDENGSIM,FOOD
Fruit Compliment,FOOD
SB 1 HC,OTHER
PIS COK KEJU,FOOD
UP Orange 16,DRINK
"Bakery Aneka Sisir Banana,Pizza,yoko,Mar mer,Daging,abon,keju,cokelat,dll",FOOD
SPOOKY SOBORO,FOOD
TOBIKO TOFU,FOOD
RTD Kunyit,DRINK
GRILLED SALMON TERIYAK,FOOD
CH CORDON BLEU NASI,FOOD
RED BEAN BRAIDED BREAD,FOOD
KITSUNE UDON (KIDS),FOOD
TORI NASU HASAMI AGE,FOOD
PLASTIC BAG,OTHER
SUP JGG KPT,FOOD
AQUA,DRINK
Paddle Pop Choco Magma,FOOD
Jamur Crispy,FOOD
DN. LONG JOHN,FOOD
PUDING,FOOD
[MD] SOFT STEAMED CHOCOCAKE,FOOD
KING DEAL CHEESE BG,FOOD
Bogo (5) Boneless,FOOD
Sambal Kecil,FOOD
1032-Double Cheddar,FOOD
OCHA COLD,DRINK
=*MEDIUM*=,OTHER
PHILLY CHEESESTEAK SL,FOOD
beef C roll 3pcs,FOOD
Strawberry jc,DRINK
Cappucino,DRINK
Kailan 2 Rasa,FOOD
BOKKEPOOTJES,FOOD
CHOCOLATE SUNDAE,FOOD
SC/P SUPER SUPREME,FOOD
BLACKPINK,DRINK
CT12.BLK JELY KPI IC,DRINK
KWE GR CMP,FOOD
101.NS BEBEK KAMPUNG,FOOD
WHDP JR 15K,FOOD
BANANA KISMIS,FOOD
RB. COKLAT BUN,FOOD
ES BATU,DRINK
-Plastic Big Small,OTHER
SAM DA S00 MINERAL WATER,DRINK
Dendeng PDS,FOOD
GULAI HATI,FOOD
JAJANGMYEON,FOOD
Siomay Kmbinasi,FOOD
XXI Java Tea Spc,DRINK
1 PC CHOCHICKS,FOOD
YAMIN PANGSIT REBUS,FOOD
HAZELNUT,FOOD
SB 1 OR,OTHER
Green Tea cold,DRINK
I ROA GORENG SPC,FOOD
caisim special,FOOD
JAPANEESE GR TEA HOT,DRINK
Mie Sup WT (U & A),FOOD
1037-ROTI MAHKOTA/RING,FOOD
Zurich Geschnitzel,FOOD
CRYSANTNUM,DRINK
WHITE RICE,FOOD
Croque Mme.,FOOD
50% CHICKEN ROYAL,FOOD
Tahu Woku,FOOD
GREEN ITSODA PITCHER,DRINK
PLASTIK TENTENG KECIL,OTHER
1006-Roti Molen,FOOD
BUGIS,FOOD
RICHOCO WFR CH P1,FOOD
ROTI UNYIL,FOOD
AQUA AIR MINERAL 600,DRINK
DONATCOKLAT,FOOD
ROBA - SPICY KAWA SKEWER KULIT,FOOD
SURIMI,FOOD
Es Batu,DRINK
Nasi,FOOD
Tempe,FOOD
Sabun Transparant Madu,OTHER
SUSHI SALMON FRESH PAKET,FOOD
MIE + AYAM KATSU TERI...,FOOD
TP KULIT,FOOD
Crispy Egg Corn,FOOD
1009-ROTI KELAPA,FOOD
MITU S/C BLUE,OTHER
NASI CAH JAMUR,FOOD
CHOCO CUSTARD PASTRY,FOOD
OPEN DESSERT,FOOD
INARI,FOOD
1009-Honey Pistachio,FOOD
Lemon Tea (L),DRINK
KUE CUBIT OVO/ SKIPPY,FOOD
Iced Sugar Cane,DRINK
LIMAU KASTURI,DRINK
PEPPERONI,FOOD
LUMPIA UDG PREM,FOOD
GERRY SM CHEESE110,FOOD
TRIPPLE CHEESE,FOOD
TEH PUCUK,DRINK
Silky Hazelnut,DRINK
IFUMIE,FOOD
kaya bred,FOOD
S-Ovaltine Macchiat,DRINK
RB. COKLAT COFFEE,FOOD
7 UP CAN 330 ML,DRINK
ICED CAPPUCINO JELLY,DRINK
CLASSIC CREAMCEESE CINNAM,FOOD
XLB Org Pork 6x,FOOD
CHOCO CUS ARD PASTRY,FOOD
CHEESE GAMJAJEON,FOOD
KING DEAL FISH,FOOD
Sio May Kpting,FOOD
TAHU,FOOD
GANACHE MOUSSE PIECE,FOOD
SENDOK MAKAN,OTHER
GREEN BEAN KAKIAGE,FOOD
KOROKE ORI,FOOD
EL KEUN HWANGTAE SUNDUBU (TUKBEGI),FOOD
AMBUSH DBL CHS,FOOD
Chili Pepper Croquette,FOOD
Benedict Burrito,FOOD
Lamien Aym Ktsu,FOOD
Nasi (MLY),FOOD
N Aym Hainam Jl,FOOD
CHAM KKOT SAL,FOOD
ORIGINAL,OTHER
SPICY C CHEESE,FOOD
PILLOW DURIAN,FOOD
Popcorn Salt (S).,FOOD
OCHA,DRINK
ROTI KEJU COKLAT,FOOD
FlyDark 0.3,DRINK
[MD] SOFT STEAMED CHOCOCA,FOOD
ALMOND CREAM CHEESE,FOOD
Jeruk Panas,DRINK
Ocha Hot,DRINK
XLB Kptg&Aym(4),FOOD
DODOT KAKEK,DRINK
DOUBLE CHEESE PAN BREAD(L,FOOD
APPLE CINN,FOOD
(TA) NASI GRG TERI MEDAN,FOOD
Peach Iced Tea,DRINK
Kerupuk Kuah,FOOD
Nerds Watermelon,FOOD
EBI KTSU 1 PCS,FOOD
BOLU KUKUS PX,FOOD
Udang Telur Asin - Regular,FOOD
SOP AYM BNG,FOOD
CRANBERRY WALNUT (S),FOOD
CINNAMON SUGAR,FOOD
CREAMY MARINARA SALMON,FOOD
MIKA KCL,OTHER
REDBEAN BRE/D,FOOD
RB. CREPES TUNA,FOOD
CAPTAIN HOOK,FOOD
MULNAENGMYON,FOOD
ES NONA REGULAR,DRINK
PEACH PASTRY,FOOD
BAJU ATASAN(PETITE MIMI ROMPER 3D FOREST / RM0003),OTHER
KONGKEE TOFU JEPUN,FOOD
KAPAS (KAPAS MEDISOFT COTTON BALL 120),OTHER
AREM - AREM,FOOD
LM Pork Belly,FOOD
Pork Belly Cheese Fries,FOOD
Mango Lemon Tea,DRINK
BANANA RHUM RAISIN,FOOD
Lapolong,FOOD
YAMIN BASO SAPI,FOOD
Kupon 9,OTHER
TEH MANIS,DRINK
RB. CREPES CHICKEN,FOOD
KAKE UDON,FOOD
BEEF CROQUETTE,FOOD
BANANA SPLIT,FOOD
ONION RINGS,FOOD
Bakmi Ayam,FOOD
GOCHUJANG,FOOD
SHISAMO MENTAIKO,FOOD
MANDARIN CAKE PTG,FOOD
JUICE ALPUKAT,DRINK
TAHU BAKSO Grg Ayam VC [biji,FOOD
WALL'S FEAST CKLT.65,FOOD
RB. SISIR PANDAN,FOOD
MIE GORENG SPECIAL,FOOD
TWIST DONUT,FOOD
B Pjg/Vr 3,OTHER
Nasi Goreng Ayam,FOOD
SOTO MEDAN+NASI,FOOD
CK.MANTAP A,FOOD
CHOCO ALMOND,FOOD
THAI ICED COFFEE,DRINK
T. TARIK GREENTEA DINGIN,DRINK
ON TAMA UDON (HOT),FOOD
Carsiupau Ayam,FOOD
+PALM SHW GEL 450,OTHER
Lidah Asap Sambal Lu'at ( R ),FOOD
ICED NUTELLA LATTE [R],DRINK
Pangsit Delima,FOOD
NS+AYAM GR RICA,FOOD
SPICY TEMPURA,FOOD
KrpBangka/Bawang,FOOD
Rice Organik,FOOD
SUNDUBU,FOOD
SOSIS SOLO,FOOD
JERUK MURNI,DRINK
FRENCH FRIES,FOOD
DADAR PISANG,FOOD
Sabun Propolis,OTHER
Mineral Water - DINE IN,DRINK
Crunchy Wings(5) Luisiana,FOOD
GADO-GADO,FOOD
Chicken Kazan Curry,FOOD
Extra Jelly Lychee.,FOOD
Iced Coffee,DRINK
Salmon Seaweed Bowl,FOOD
Hot Chocolate Marshmallo,DRINK
Chicken Popcorn,FOOD
GARISH PC,OTHER
LAY'S NORI SEAWD 55G,FOOD
Bola Ubi Mini Original (14 Pcs ),FOOD
Teh Tawar Hangat,DRINK
<FC Winger HC,FOOD
NASI GOR SFD TLR,FOOD
Pastel,FOOD
Cheezemania,FOOD
CUP 14 OZ,OTHER
Sambal Besar,FOOD
TALKING ACTIVITY BK,OTHER
RB. RED BEAN,FOOD
Tahu Bacem,FOOD
Nila Penyet + Nasi,FOOD
Caramel Medium,DRINK
SEMAR MENDEM,FOOD
CREAMCHEESE WALNUT BREAD,FOOD
=*LARGE*==,OTHER
ICED TT,DRINK
MIX 4FUN CHOCOLATE,FOOD
Bintang L,DRINK
CLS CHK CHIL,FOOD
DELFI C/CHA MINIS,FOOD
Mie Gr Udg Gala,FOOD
TWIST STRAWBERRY DONUT,FOOD
KAYA BUN,FOOD
SHARKIE FREEZE,DRINK
Liang Teh,DRINK
R.TAWAR ISI 2,FOOD
Popcorn Sweet (S),FOOD
F.FRIES MEDIUM,FOOD
FORMULA S/P P,OTHER
Choco Bun,FOOD
Lumpia Udg K Th,FOOD
JUICE STRAWBERRY,DRINK
J.STB PROMO,DRINK
steamed rice,FOOD
ROTI KACANG MERAH,FOOD
KaraageCurryTeishoku,FOOD
NU GREENTEA ORGE,DRINK
ORANGE JUICE,DRINK
TALAM UNGU,FOOD
Bakmi Ayam Spc Ng,FOOD
BCA PROMO,OTHER
TERONG BEJEUG,FOOD
Almond Croissant,FOOD
cashew nuts chkn,FOOD
CARAMEL PASTRY,FOOD
NUMER CANDLE NO.1,OTHER
STIX ECLAIRS,FOOD
Sop Gurame,FOOD
Sate Babi Cabe Ijo,FOOD
KAKIAGE TEMPURA,FOOD
Sapo Tohu Sea M,FOOD
UDG GR MAYONAISE,FOOD
Chocolate Twist,FOOD
CKM 1 OR,FOOD
PISANG KEJU,FOOD
ROTI,FOOD
Tuna N Chicken Floos Bread,FOOD
Choco Bite,FOOD
Lurisia stille 330ml,DRINK
DYNAMITE SCALLOP,FOOD
Teh Tubruk Jahe,DRINK
Sundae,FOOD
Ayam Bakar,FOOD
Banana Milkshake,DRINK
BIR BINTANG BOTOL ( ),DRINK
TEH JAWA,DRINK
Sorbet,FOOD
AVOCADO COFFEE,DRINK
POCAI 3,FOOD
AOP Seafood,FOOD
WHITE CHOCO BANANA SPREAD,FOOD
DAK GANG JEONG,FOOD
Go Hiong,FOOD
ACCESORIES(SUN BABES PENUTUP MATA),OTHER
F.Wngr GES-HC,FOOD
Nasi Campur ala Bali,FOOD
1517-ROTI KENTANG KEJU MANIS,FOOD
Thai Tea - ICE,DRINK
ABURA SOBA CHK,FOOD
CHICKEN KATSU,FOOD
Teh Manis,DRINK
Bihun (MLY),FOOD
MAGNUM WHT ALMND 80,FOOD
IVINERAL WATER (bundling) 5k,DRINK
GARPU,OTHER
Kroket,FOOD
1245-Plastik Tentengan Kecil,OTHER
MED ICED LEMON TEA,DRINK
1028-Dark Choco Creamcheese,FOOD
Chamomile,DRINK
AIR MINERAL,DRINK
GURAME FILLET M ASAM MANIS,FOOD
3001-Sakura Mochi,FOOD
Choco Lining Bread,FOOD
Cheese Burger,FOOD
Tairyos Salmon Maki,FOOD
JASMINE,DRINK
TLJ CROQUETTE,FOOD
SWEEAT ICE TEA,DRINK
JUICE JAMBU,DRINK
PARU,FOOD
VALINO DONNA,OTHER
PAKET DOSIRAK 3,FOOD
1pc Chicken OR,FOOD
CHOCO CUSTAF D PASTRY,FOOD
BUDS PRECIOUS NEWBORN CREAM 75ML(TOILETRIES),OTHER
Herbal Jelly,FOOD
1013-ROTI NANAS,FOOD
Kwt Polos Mdn,FOOD
4002-Chocolate Orange Peel,FOOD
BIHUN GORENG JJ,FOOD
WARISAN 2 FREE DRINK,DRINK
WALL'S BABY SHARK 60,FOOD
Colonel Burger,FOOD
CHOCOLATE SOBORO,FOOD
Combo 4,FOOD
AMBUSH DBL CHS BURG,FOOD
MIE SIRAM AYAM,FOOD
TOMAT CURAH,FOOD
GOCUJANG H.200G,FOOD
PEARL CHOCO TEA,DRINK
2001-Hokkaido Milk Toast,FOOD
SALMON BACON,FOOD
Perkedel,FOOD
PLASTIK SDG,OTHER
PAKET BULGOGI 3,FOOD
Iced Cappuccino,DRINK
P J Cotes du,DRINK
(TA) NASI GORENG,FOOD
DAUN SEREH,FOOD
Onde-Onde,FOOD
Ayam Suir Bali,FOOD
Chocochip & Walnut,FOOD
Choco Melt,FOOD
Brokoli Bwg Putih,FOOD
Mineral Water,DRINK
DL+GA+FF+R+2RB,FOOD
SUSHI SALMON,FOOD
GRAINS PAN BREAD,FOOD
Kupon 1,OTHER
Nasi Cap Cay Porsi B esar,FOOD
Lemon,FOOD
KWE BUN SAPI,FOOD
SM Udang & Aym (4),FOOD
LUMPIA UDG PREM =*MEDIUM*=,FOOD
Hot Tea,DRINK
Ayam Grg Kalasan,FOOD
KOPI SUSU,DRINK
JERUK NIPIS,DRINK
NASI GORENG SPECIAL,FOOD
COPIA 1 /GB,OTHER
BLACK PAPPER MEATBALL PAS,FOOD
Nasi Goreng Gila,FOOD
Teh Tawar Dingin,DRINK
LUMPIA,FOOD
PAKET BER2 UP1,FOOD
YIFUMI,FOOD
S-Hazelnut Milk Tea,DRINK
CHUM CHURUM PEACH,DRINK
CUMI GR TEPUNG,FOOD
Oolong Jasmine Cup,DRINK
SALTED EGG FISH & CHIPS,FOOD
APPLE PIE,FOOD
Viet Milk Coffee,DRINK
Ayam Sambal Hija,FOOD
MUF CHOC CHP,FOOD
BITTERBALLEN,FOOD
PAKET CHICKEN 3,FOOD
NOUGAT ICE CREAM,FOOD
ZAI.Milk Choco Egg Frozen 60gr,FOOD
BIHUN GORENG SPECIAL,FOOD
TakeQuay Charge,OTHER
TAHU SATUAN,FOOD
TORI BAITAN UDON,FOOD
NEW BEEF LASAGNA,FOOD
EBI TEMPURA,FOOD
KERUPUK KERING,FOOD
CF BUNCIS ORG,FOOD
AYM RBS 1 EKOR,FOOD
TUNA & CHEDDAR,FOOD
SBL GR TERI,FOOD
Teh Es,DRINK
RedVelvet Cheese Slc,FOOD
Tahu Jepang,FOOD
BUBUR UNGU,FOOD
"Oriental ""Ketjap"" Pork Rice",FOOD
Common Law,OTHER
NASI GORENG SPC,FOOD
ROTI COKLAT,FOOD
Soto Betawi,FOOD
CUSTARD BRIC CHE,FOOD
BLACK PRAWN PASTA,FOOD
Gojek Chicken Soy Sauce F,FOOD
Salad Deluxe,FOOD
LEMONADE,DRINK
Organic Green Sa,FOOD
AGSIO TH PC JMR =*MEDIUM*=,FOOD
French Fries - DINE IN,FOOD
Pangsit Special,FOOD
NASI MERAH/PUTIH,FOOD
Wagyu Rice Box,FOOD
ZUPPA SOUP,FOOD
French Fries + FF,FOOD
6002-Plastic Bag Medium,OTHER
Pecel Komplit + Nasi,FOOD
MACARONI GR,FOOD
CHEESE BUN,FOOD
1 BIC ALA CARTE,FOOD
Tea,DRINK
Chum Churum,DRINK
SATE PADANG,FOOD
Serbu 1,OTHER
CIPAIN PATCH 4S,OTHER
TEH HANGAT,DRINK
UP Drink 16,DRINK
CHOC BANANA,FOOD
Hot Black Cofee,DRINK
TAKE AWAY CHARGE,OTHER
KOREAN COLD TEA,DRINK
SUNDUBU(TUKBEGI) GYERAN CIM,FOOD
CLASSIC TOMATO,FOOD
PAKET WEEKEND 1,FOOD
CUSTARD BRIOCHE,FOOD
CHARGE TA,OTHER
Silky Green Tea,DRINK
MPEKMPEK K SELAM,FOOD
REAL MILK CHOCO BREAD,FOOD
ICE BLACKCOFFE,DRINK
SHISHA,OTHER
SUL LUNG TANG,FOOD
MINERALWATER,DRINK
Soup Of The Day,FOOD
Ikan Bawal Besa,FOOD
Cheese Croquette,FOOD
6001-Plastic Bag Small,OTHER
Teh Pucuk 350 ml,DRINK
A.MINERAL BOTOL,DRINK
POTATO SAUSAGE BREAD,FOOD
Krupuk Babi Bungkus,FOOD
BBQ Chicken,FOOD
Tepung Jagung,FOOD
LIPTON ICE TEA REGULA,DRINK
[MD] SOFT STEAMED CHEESEC,FOOD
BAKPIA KACANG H,FOOD
NESTLE 330 ML,DRINK
Butter croissant,FOOD
DENDENG BALADO,FOOD
Mango Float,DRINK
Tigger Roll,FOOD
Bakmie Pst/ Bakso,FOOD
Iced Coffee Latte,DRINK
PAKET WEEKEND 2,FOOD
DONAT AYAM,FOOD
SOSRO TEH BOTOL 350,DRINK
-Chokoreto Cookies,FOOD
Berry Many-Low (P),DRINK
BUDS PRECIOUS NEWBORN HEAD TO TOE CLEANSER 250ML(TOILETRIES),OTHER
EGG TEMPURA,FOOD
Jus Jeruk,DRINK
Rice,FOOD
[MD] MINI CASTELLA CHOCOL,FOOD
NUTTELA BROWNIES,FOOD
GRAPE JELLY,FOOD
Omurice Katsu Curry,FOOD
SMOKY PAN CLASSIC,FOOD
Grilled Dorry Fish,FOOD
CREAM TEOK PO KI,FOOD
NASI(GONGGI BAB),FOOD
PILLOW DURIA,FOOD
Angus Striploin,FOOD
Yakiniku Rice Organic,FOOD
STRAWBERRY,FOOD
Mineral Water (S),DRINK
BIHUN CAMPUR,FOOD
MILK CREAM BREAD,FOOD
NS MINI STICK,FOOD
Ayam Penyet Sambal Glede,FOOD
Grande,OTHER
BL1 M LW,OTHER
Dumpling,FOOD
Teh Kotak,DRINK
Pink Panther (P),DRINK
Hotplate Tahu,FOOD
4032-Mini Glazed Croissant (isi 5 pcs),FOOD
Earl Gray Tea,DRINK
NS BISTIK AYM TP,FOOD
LAPIS SINGAPUR,FOOD
PAKET BER4,FOOD
ORIGINAL BREWED TEA,DRINK
Lov Triangle,FOOD
NB AYAM,FOOD
AYAM PANGGANG,FOOD
KWT GR MGMSP,FOOD
<AYA BUN,FOOD
Fu Yung Hai,FOOD
5003-Chokoreto Cookies,FOOD
Populaire Chocolate,FOOD
SAYUR,FOOD
Thai Coffee ICE,DRINK
Se'I Sapi Sambal Matah ( R ),FOOD
H N Cheesy Chic,FOOD
Ns Pgng Kj Sp,FOOD
Es Kopi Susu Pandan,DRINK
Kwo Tie Jala2,FOOD
CHICKEN KATSU CURRY RICE,FOOD
DarkBeer0.5L,DRINK
SAUCE SHOYU SUSHI YAMASA HALAL,FOOD
GULAI OTAK,FOOD
OGYOPSAL,FOOD
SIOMAY,FOOD
JPR SUS U,FOOD
EL KEUN HWANGTAE,FOOD
DEPT01,OTHER
DOUBLE CHICK BREAST,FOOD
GREEN MONSIEUR,FOOD
Lychee Tea,DRINK
"Chicken HCC, 1Pcs",FOOD
CHEESE KC BOKUMBAP,FOOD
TWIST ORANGE CHOCO DONUT,FOOD
ES TEH/TAWAR,DRINK
Mineral Water (S).,DRINK
SURIMI - SATSUMA AGE VEGETABLE,FOOD
LS TOILETBRUSH102,OTHER
IKAN GURAME REG,FOOD
SUNKIST,DRINK
POCAI BWG PUTIH =*MEDIUM*=,FOOD
ICED White,DRINK
1057-French Bread Puding,FOOD
IKAN BUMBU KUNING,FOOD
1017-Roti Pisang Keju,FOOD
Nasi Putih GG,FOOD
TOM YAM,FOOD
Lumpia Klt Tahu (3),FOOD
RISOL ROGUT,FOOD
Sweet Tea,DRINK
Bakmi Ultah,FOOD
Cheese Tea Hokkaido Melon,DRINK
Caisim Kecil,FOOD
SAUSAGE BREAD,FOOD
-,OTHER
BROWNIE,FOOD
CUMI GR JUNJAN,FOOD
AYAM GORENG,FOOD
ELEPHANT READ BEAN,FOOD
TLJ HOTDOG,FOOD
MPEKMPEK LENJER,FOOD
APPLE CINNAMON PASTRY,FOOD
FF SoftDrink (M),DRINK
Cuci,OTHER
NICE TRAVEL PACK,OTHER
Ikan Gurame Tahu M,FOOD
Steam Rice,FOOD
Ayam. Kremes,FOOD
GIANT FCL TISSUE,OTHER
5001-Corn Flakes Cookies,FOOD
FA-Cookies Mix 200 gr,FOOD
[REG] BLACK SAKURA,FOOD
Tahu Telor Asin,FOOD
HAZELNUT CHOCO MT (R),DRINK
PASTELGORENG,FOOD
GULAI CUMI,FOOD
SHOPPING BAG ROTI'O' 370/,OTHER
AYAM GR BUMBU,FOOD
Small 1,OTHER
TOBIKKO ORANGE,FOOD
Bintang Bremer,DRINK
Tanqueray NO 10 gls,DRINK
(TA) BIHUN GORENG SEAFOOD,FOOD
Gojek French Fries,FOOD
Bbq Bento,FOOD
LUNCH BOX 3P SET W/BLACK BAG & SP OON,OTHER
NASI GORENG,FOOD
Udon,FOOD
REAL HONEY PANCAKE BREAD,FOOD
Mini Chocolate Donut,FOOD
Siew Mai,FOOD
PLASTIK 25,OTHER
NASI RAMES,FOOD
DANISH FISH & CHIPS,FOOD
AGSIO TH PC JMR,FOOD
C.KATSU NOODLE HP,FOOD
MOMO,FOOD
OCHA HANGAT,DRINK
Lemon Tea,DRINK
Weiss 0.3 L,DRINK
Chicken Herb Crust,FOOD
GRAIN CROQUE MONSIEUR,FOOD
IKAN GURAME MED SOP IKAN,FOOD
Pandan Cream brulee,FOOD
CARBONARA,FOOD
Ice Tea Tawar,DRINK
Seafood Tempura BBQ,FOOD
BURGER CHIC DECKER,FOOD
PAKET CHICKEN 4,FOOD
HOT OCHA,DRINK
TRUFFLE CREAM,FOOD
WHOLE WHEAT PAN BREAD,FOOD
WAJIK,FOOD
1023-Chocochip & Walnut,FOOD
Mantau - 3 pcs,FOOD
Pancake Durian,FOOD
Sayur Asem,FOOD
EGG TART,FOOD
Mun Tofu,FOOD
RENDANG DAGING,FOOD
SHOPPING BAG,OTHER
NASI BALI (EMPAL),FOOD
R.BANA CHIP,FOOD
Chicken Karamiso Special,FOOD
House Blend,DRINK
BREAD BOX M,OTHER
CHICKEN SKIN,FOOD
SAYAP,FOOD
HOT TUNA,FOOD
Telur Dadar,FOOD
IKAN MALAS 650GR,FOOD
Caesar Salad,FOOD
TAHU DOMBA MEMBARA,FOOD
PILOW DUR PX,FOOD
ES ALPUKAT,DRINK
NUMER CANDLE NO.2,OTHER
garlic pepper beef,FOOD
Kue Macok,FOOD
SALAD BAR 50%,FOOD
Coke (L),DRINK
KOREAN LEMONADE,DRINK
NS+AYAM GR TPG,FOOD
KINGBBOBPG ML REG,FOOD
SHOPPING BAG ROTI'O' 370/M,OTHER
Bakso Lobster,FOOD
GRILLED BABY POTATO ( R,FOOD
Lychee/Peach/Lemon/Mango,DRINK
FUTAMI 17 GREEN TEA (CLAS,DRINK
PAKET HAPPY HOUR,FOOD
Milo Dino,DRINK
THAI ICED TEA,DRINK
ORIGINAL COMBO,FOOD
M-Ovaltine Macchiat,DRINK
TAMMIA 259,OTHER
MIKA KECIL,OTHER
KALBI PLATTER 2-3,FOOD
AYAM BAKAR,FOOD
Es Cincau,DRINK
N AYM PENYET SAMBAL MATAH,FOOD
ORIGINAL NO SALT,FOOD
Caramel Small,DRINK
ALMOND SUGAR MILK BREAD,FOOD
TAHU LAMPION,FOOD
WAKI SALAD,FOOD
CORONET,FOOD
ES TEH MANIS,DRINK
FA-Polycello Bag 200 gr,OTHER
Pocai 3 Telor M,FOOD
RICE,FOOD
GRILLED BABY POTATO (R,FOOD
Milk Shake Coklat,DRINK
Buruno Gr IN,FOOD
Equil Natural,DRINK
Mexican Baked Rice,FOOD
REGULAR JASMINE TEA,DRINK
P. INTESTINE (R),FOOD
MilkShake Starwb,DRINK
Mie Jumbo Pst/bakso,FOOD
DUA BELIBIS SBL135,FOOD
#PKTPOLSBTSPON2S,OTHER
F Squeeze Orange,DRINK
COLD OCHA,DRINK
Pillow Cheese,FOOD
SOUP 50%,FOOD
SAYAP AYAM,FOOD
OREO MILK BLEND,DRINK
Arem Arem,FOOD
GREEN TEA WITH CRUMBLE,DRINK
Crispy Mushroom,FOOD
Ice Tea Peach,DRINK
Rock salt and Cheese [R] Coffee,DRINK
KERUPUK/SAMBEL,FOOD
KUPAT TAHU,FOOD
ES TEH TAWAR,DRINK
GoFood Beragam - ICE LAT TE,DRINK
BANANA DONUT,FOOD
SB SIZE 45.5,OTHER
RAMEN AYAM SPECIAL,FOOD
PLASTIK SEDANG,OTHER
DF Fish Fillet Garlc,FOOD
Ash Chick Sambal Matah,FOOD
BIBIMBAB,FOOD
CT06.TEA 0 ICE R.,DRINK
Teh Poci,DRINK
GYU MOZZA DON,FOOD
Sliders Set,FOOD
PUYUH GO,FOOD
KOPI HITAM,DRINK
ES TEH TAW GUILINGGAO,DRINK
GULAI TUNJANG,FOOD
Jamur Kuping,FOOD
Cai Mieo,FOOD
CHIKATSU BEN,FOOD
Nasi Campur Bali,FOOD
Tonic Water,DRINK
CAKWE (L),FOOD
